"","Date","Mkt.RF","SMB","HML","RMW","CMA","RF"
"368",2011-05-31,1.2,-0.17,-0.01,-0.12,0.1,0
"369",2011-06-01,-1.44,0.42,-0.12,0.46,-0.38,0
"370",2011-06-02,-0.32,0.17,0.09,-0.1,0.02,0
"371",2011-06-03,-0.34,-0.09,0.17,0.06,-0.05,0
"372",2011-06-06,-0.97,0.03,-0.38,0.51,-0.21,0
"373",2011-06-07,0.26,0.12,0.05,0.04,0.12,0
"374",2011-06-08,-0.93,-0.23,0.14,0.36,-0.17,0
"375",2011-06-09,0.44,-0.3,-0.02,0.01,0.16,0
"376",2011-06-10,-1.5,0.36,0.29,0.05,0,0
"377",2011-06-13,0.12,-0.17,0.07,0.23,-0.22,0
"378",2011-06-14,1.16,-0.09,0.08,-0.07,0.18,0
"379",2011-06-15,-1.87,0.32,-0.07,0.22,-0.08,0
"380",2011-06-16,-0.45,-0.23,0.32,0.17,0.13,0
"381",2011-06-17,0.42,-0.36,0.27,0.02,0.17,0
"382",2011-06-20,-0.02,-0.17,0.02,0.15,-0.02,0
"383",2011-06-21,1.72,-0.06,-0.02,-0.33,-0.02,0
"384",2011-06-22,-0.36,0.33,0.12,-0.12,-0.02,0
"385",2011-06-23,-1,0.4,-0.34,0.21,-0.11,0
"386",2011-06-24,-0.56,0.43,-0.11,0.14,-0.13,0
"387",2011-06-27,0.37,-0.45,-0.02,0.22,0.03,0
"388",2011-06-28,1.13,-0.19,-0.21,-0.05,-0.02,0
"389",2011-06-29,1.49,-0.38,0.19,-0.26,0.14,0
"390",2011-06-30,1.25,-0.02,0.09,-0.06,0.12,0
"391",2011-07-01,1.01,-0.27,0.18,-0.19,0.1,0
"392",2011-07-04,0.3,0.25,-0.13,-0.01,0.03,0
"393",2011-07-05,-0.31,0.1,-0.51,0.19,-0.29,0
"394",2011-07-06,-0.2,0.33,-0.57,0.4,-0.2,0
"395",2011-07-07,0.72,0.07,-0.19,0.01,-0.24,0
"396",2011-07-08,-0.58,0.45,-0.54,0.38,-0.1,0
"397",2011-07-11,-2.14,0.52,-0.27,0.49,-0.09,0
"398",2011-07-12,-0.64,0.04,0.17,-0.01,0.09,0
"399",2011-07-13,1.09,0.18,-0.27,-0.05,-0.15,0
"400",2011-07-14,-0.74,-0.01,-0.02,0.24,-0.03,0
"401",2011-07-15,0.16,-0.09,-0.17,0.1,-0.39,0
"402",2011-07-18,-1.14,0.12,-0.35,0.27,-0.34,0
"403",2011-07-19,1.17,-0.25,-0.23,0,-0.19,0
"404",2011-07-20,0.75,-0.26,0.52,-0.38,0.26,0
